t,urllc_p95_ms,urllc_p50_ms,urllc_loss,embb_p95_ms,embb_mbit,cap_mbit,breach,predicted,cell_mbit
1789821467.411,23.5,19.4,0.0,23.7,44.84606496751624,0.0,1.0,0.0,50.0
1789821469.411,23.3,19.7,0.0,24.3,56.39796698349174,0.0,1.0,0.0,50.0
1789821471.411,24.1,19.7,0.0,24.3,56.26630115057528,0.0,1.0,0.0,50.0
1789821473.411,24.2,18.9,0.0,24.8,44.938488,0.0,1.0,0.0,50.0
1789821475.411,23.7,18.7,0.0,24.8,45.100888,0.0,1.0,0.0,50.0
1789821477.411,23.2,19.4,0.0,24.8,44.71743249313701,0.0,1.0,0.0,50.0
1789821479.411,24.0,18.9,0.0,26.0,42.63614089432926,40.0,1.0,0.0,50.0
1789821481.411,25.5,17.1,0.0,76.2,30.96164764764765,40.0,1.0,0.0,50.0
1789821483.411,39.3,0.515,0.0,124.0,18.62685814360771,19.599999999999998,1.0,0.0,50.0
1789821485.411,5.63,0.432,0.0,160.0,13.877295971978986,20.599999999999998,0.0,0.0,50.0
1789821487.411,0.744,0.433,0.0,160.0,11.878888,21.599999999999998,0.0,0.0,50.0
1789821489.411,0.855,0.454,0.0,174.0,13.54752,22.599999999999998,0.0,0.0,50.0
1789821491.411,1.03,0.52,0.0,209.0,11.927244377811094,23.599999999999998,0.0,0.0,50.0
1789821493.411,1.03,0.494,0.0,441.0,13.206204897551224,24.599999999999998,0.0,0.0,50.0
1789821495.411,0.926,0.466,0.0,483.0,14.37464,25.599999999999998,0.0,0.0,50.0
1789821497.411,0.883,0.441,0.0,730.0,11.567711855927962,26.599999999999998,0.0,0.0,50.0
1789821499.411,1.77,0.482,0.0,923.0,12.808732366183088,27.599999999999998,0.0,0.0,50.0
1789821501.411,1.1,0.501,0.0,1163.0,14.460593703148426,28.599999999999998,0.0,0.0,50.0
1789821503.411,1.04,0.472,0.0,1359.0,16.362458770614694,29.599999999999998,0.0,0.0,50.0
1789821505.411,0.984,0.474,0.0,1359.0,20.900546273136563,30.599999999999998,0.0,0.0,50.0
1789821507.411,1.6,0.525,0.0,1359.0,24.85484,31.599999999999998,0.0,0.0,50.0
1789821509.411,1.96,0.636,0.0,1359.0,27.508104,32.599999999999994,0.0,0.0,50.0
1789821511.411,2.07,0.754,0.0,1359.0,29.86333166583291,32.599999999999994,0.0,0.0,50.0
1789821513.411,1.51,0.636,0.0,1170.0,29.91800149887585,33.599999999999994,0.0,0.0,50.0
1789821515.411,1.42,0.494,0.0,1145.0,29.631416291854073,34.599999999999994,0.0,0.0,50.0
1789821517.411,1.68,0.576,0.0,1116.0,44.04284813610208,35.599999999999994,0.0,0.0,50.0
1789821519.411,2.72,0.633,0.0,1085.0,44.313828914457225,36.599999999999994,0.0,0.0,50.0
1789821521.411,1.42,0.657,0.0,1060.0,29.955318340829585,37.599999999999994,0.0,0.0,50.0
1789821523.411,1.42,0.602,0.0,1040.0,29.923700299700304,38.599999999999994,0.0,0.0,50.0
1789821525.411,1.38,0.571,0.0,999.0,29.946817295676084,39.599999999999994,0.0,0.0,50.0
1789821527.411,1.38,0.573,0.0,966.0,29.932020020020023,40.599999999999994,0.0,0.0,50.0
1789821529.411,1.48,0.601,0.0,935.0,44.95731798849137,41.599999999999994,0.0,0.0,50.0
1789821531.411,1.48,0.569,0.0,897.0,44.979072,42.599999999999994,0.0,0.0,50.0
